ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price
1,LED,"GD6,GD7,GD1",LED 0603,3,,,LCSC,C2286,0.006
2,1k,"GR1,GR2,GR3,GR4,GR6,GR7",R0805,6,,,LCSC,C17513,0.001
3,LED,"LED8,LED9,LED10,LED11",LED0603-FD,4,,,LCSC,C2286,0.006
4,470Ω,"R19,R28,R30,R29",R0805,4,,,LCSC,C119076,0.002
5,10uF,"C27,C28,C75,C76,GC8",C0805,5,,,LCSC,C15850,0.011
6,100nF,"C20,C29,C30,C31,C32,C33,C40,C41,C42,C43,C46,C47,C48,C60,C61,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C78,C81",C0402,29,,,LCSC,C307331,0.006
7,RCA-213,"1R,2R",CONN-TH_RCA-1-90,2,,,,,
8,HC-DC-007B-2.5,"1V,2V,3V,4V,7V,8V,5V",DC-IN-TH_HC-DC-007B-2.5,7,HC-DC-007B-2.5,HCTL(华灿天禄),LCSC,C3010537,0.42
9,47nF,"C1,C11,C16",C0805,3,,,LCSC,C53134,0.011
10,100nF,"C2,C10,C12,C15,C25,C35,C44,C45,C57,C74,GC1,GC2,GC3,GC6",C0805,14,,,LCSC,C28233,0.007
11,220pF,"C3,C9,C14",C0805,3,,,LCSC,C107145,0.009
12,10nF,"C5,C6,C7,C8,C13,C80",C0805,6,,,LCSC,C1710,0.006
13,1uF,C17,C0805,1,,,,C28323,
14,1nF,C18,C0805,1,,,,C46653,
15,10uF,"C21,C36,C37",C0402,3,,,LCSC,C15525,0.01
16,22uF,"C22,C26,C34,C38,C39",C0805,5,,,LCSC,C45783,0.026
17,12pF,C23,C0402,1,,,LCSC,C1547,0.001
18,16pF,C24,C0402,1,,,LCSC,C161307,0.039
19,10uF,"C49,C50,C51,C54,C55,C56",C1210,6,,,LCSC,C18739,0.074
20,100pF,C52,C0805,1,,,LCSC,C1790,0.006
21,10nF,C53,C0805,1,,,LCSC,C1710,0.004
22,1.5nF,"C58,C59",C0805,2,,,LCSC,C1717,0.005
23,7V Z-Diode,"D1,D2,D5",SOD-123_L2.7-W1.6-LS3.7-R-RD,3,BZT52C5V1,YONGYUTAI(永裕泰),LCSC,C2891773,0.013
24,SMCJ33CA_C310048,D3,SMC_L7.1-W6.2-LS8.1-BI,1,SMCJ33CA/TR13,Brightking(君耀电子),LCSC,C310048,0.121
25,BZT52C5V1_C2891773,D4,SOD-123_L2.7-W1.6-LS3.7-R-RD,1,BZT52C5V1,YONGYUTAI(永裕泰),LCSC,C2891773,0.013
26,SK1045B,"D6,D8",SMB_L4.6-W3.6-LS5.3-RD,2,SK1045,MDD,LCSC,C28646300,0.137
27,SMBJ5.0CA/TR13,"D7,D13,D14,D15,D16",SMB_L4.6-W3.6-LS5.3-BI,5,SMBJ5.0CA/TR13,Brightking(君耀电子),LCSC,C78424,0.052
28,LED,GD4,LED0603-R-RD_RED,1,,,LCSC,C2286,0.006
29,SS13,GD5,SMA(DO-214AC),1,SS13,MDD,LCSC,C2480,0.036
30,HDR2X3,GICSP1,HDR2X3,1,,,LCSC,C706893,0.093
31,10k,GR5,R0805,1,,,LCSC,C17414,0.001
32,3x4x2,GSW1,KEY-3.0*4.0,1,3x4x2,ReliaPro,LCSC,C455280,0.047
33,ATMEGA328-AU,GU1,TQFP-32_L7.0-W7.0-P0.80-LS9.0-BL,1,ATMEGA328-AU,MICROCHIP(美国微芯),LCSC,C14877,2.202
34,LM1117IMPX-5.0NOPB,GU2,SOT-223,1,,,LCSC,C6187,0.732
35,CH340G/C,GU4,SOIC-16_150MIL,1,CH340C,WCH,LCSC,C7464026,0.547
36,16MHz,GY1,3213,1,CSTCE16M0V53-R0,muRata,LCSC,C32180,0.241
37,SH31,H1,HDR-F-2.54_1X4,1,,,LCSC,C3029469,0.097
38,BT-OUT,H2,HDR-F-2.54_1X4,1,,,LCSC,C2718488,
40,5Pin_OUT,H5,HDR-F-2.54_1X5,1,,,LCSC,C3029470,0.11
41,10uH,L1,IND-SMD_2P-L5.0-W5.0,1,,,LCSC,C167967,0.048
42,15uH,L2,IND-SMD_L11.0-W10.0,1,,,LCSC,C151872,0.219
43,HYG025N06LS1C2,Q1,DFN-8_L5.9-W5.2-P1.27-LS6.2-BL,1,HYG025N06LS1C2,HUAYI(华羿微),LCSC,C358006,0.145
44,1.2kΩ,"R1,R5,R9",R0805,3,,,LCSC,C17379,0.002
45,47Ω,"R2,R6,R14",R0805,3,,,LCSC,C17714,0.001
46,4.7kΩ,"R3,R4,R7,R8,R10,R11,R12,R13,R15",R0805,9,,,LCSC,C17673,0.002
47,10kΩ,"R16,R18,R32,R33,R34",R0402,5,,,LCSC,C25744,0.001
48,20kΩ,R17,R0805,1,,,LCSC,C4328,0.002
49,0Ω,R20,R0402,1,,,LCSC,C17168,
50,6.34KΩ,R23,R0805,1,,,LCSC,C865623,0.036
51,1k,R25,R0805,1,,,,C17513,0.001
52,2K,R26,R0805,1,,,,C17604,0.001
53,6.04kΩ,R27,R0402,1,,,LCSC,C325548,0.002
54,4.7kΩ,R31,R0402,1,,,LCSC,C25900,
55,10kΩ,"R35,R36",R0402,2,,,LCSC,C25744,0.007
56,4.7kΩ,"RN1,RN2,RN3",RES-ARRAY-SMD_0603-8P-L3.2-W1.6-BL,3,4D03WGF4701T5E,UNI-ROYAL(厚声),LCSC,C1980,0.012
57,BTS70082EPAXUMA1,"U1,U2,U5",PG-TSDSO-14_L4.9-W3.9-P0.65-LS6.0-BL-EP,3,BTS70082EPAXUMA1,Infineon(英飞凌),LCSC,C2150060,5.333
58,CC6900SO-30A,U3,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL,1,CC6900SO-30A,CrossChip(成都芯进),LCSC,C355193,0.727
59,TPS5450DDAR,U4,SOP-8_L4.9-W3.9-P1.27-LS6.0-BL-EP,1,TPS5450DDAR,TI(德州仪器),LCSC,C114425,0.713
60,USB3-Type-B,U6,TH_U235-091N-4BLRC16-2,1,,,LCSC,C2880591,0.724
61,SL2.1s,U9,SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,1,SL2.1s,CoreChips(和芯润德),LCSC,C2684433,0.267
62,NO,U12,XT60-PW-M V2,1,,,,C98732,
63,VL812/813,U13,MQFN-76_L9.0-W9.0-P0.40-BL-EP,1,VL812,VIA(台湾威盛电子),LCSC,C69417,
64,25MHz-4P,X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,1N225000BC0J,KDS(大真空),LCSC,C9006,0.066
65,12MHz-4P,X2,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,TAXM12M4RLBDDT2T,TAE(雅晶鑫),LCSC,C133334,0.054
66,USB3.0,"USB1,USB3,USB5,USB9",USB-3.0-A-TH_HC-ST-003-01-Z,4,HC-ST-003-01-Z,HCTL(华灿天禄),LCSC,C2845331,0.125
67,USB2.0,USB6,USB-A-TH_C42668,1,907-211A1021D10200,精拓金,LCSC,C42668,0.127
68,10uF,"C4,C19",C0402,2,,,LCSC,C15525,0.011